,Transformer2_Features,TemplateDescription
101,"[918, 79, 80, 81, 35, 36, 86, 87, 33, 1, 44]","The hydraulic pressure difference is too large, affecting the yaw brake control mechanism.High and variable wind speed is affecting the stabilisation properties of the yaw brake.The wind vane measurements signal a high deviation in absolute wind direction.Checking and replacement of wind vane controller and forced shutdown is recommended.Generator stator temperature is not in ambient range.Checking the ambient temperature of generator stator is recommended."
102,"[918, 79, 80, 81, 36, 35, 86, 87, 33, 1, 30]","The hydraulic pressure difference is too large, affecting the yaw brake control mechanism.High and variable wind speed is affecting the stabilisation properties of the yaw brake.The wind vane measurements signal a high deviation in absolute wind direction.Checking and replacement of wind vane controller and forced shutdown is recommended."
103,"[918, 79, 80, 101, 81, 36, 35, 86, 87, 30, 63]","The hydraulic pressure difference is too large, affecting the yaw brake control mechanism.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism."
104,"[918, 80, 79, 81, 101, 36, 35, 86, 1, 63, 87]","The hydraulic pressure difference is too large, affecting the yaw brake control mechanism.High and variable wind speed is affecting the stabilisation properties of the yaw brake.The wind vane measurements signal a high deviation in absolute wind direction.Checking and replacement of wind vane controller and forced shutdown is recommended.Generator stator temperature is not in ambient range.Checking the ambient temperature of generator stator is recommended."
105,"[919, 53, 51, 36, 35, 45, 4, 47, 37, 41, 98]",There is a fatal anomaly in the pitch angle controlling system.Ambient temperature changes are causing abnormal operation of the pitch controller.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.Generator stator temperature is not in ambient range.Checking the ambient temperature of generator stator is recommended.
106,"[919, 4, 7, 2, 10, 101, 3, 9, 8, 86, 6]",There is a fatal anomaly in the pitch angle controlling system.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismThere is misaligment in pitch angle.Fine tuning and repair of pitch controller is recommended.
107,"[919, 2, 4, 6, 3, 7, 83, 8, 84, 0, 50]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismPlease check the pitch angle controller for anomaly.Fine tuning and repair of pitch controller is recommended.
108,"[919, 2, 0, 3, 49, 48, 7, 50, 47, 74, 51]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Power performance and aerodynamics are affected by pitch angle misalignment.Please check the pitch angle controller for anomaly.Fine tuning and repair of pitch controller is recommended.
109,"[919, 79, 60, 61, 36, 50, 94, 59, 38, 95, 80]","There is a fatal anomaly in the pitch angle controlling system.The wind vane measurements signal a high deviation in absolute wind direction.The nacelle temperature is not in ambient range.Due to low temperature, turbine blades may be frozen.Forced shutdown is recommended until weather conditions become normal."
110,"[919, 0, 3, 2, 5, 4, 9, 34, 6, 49, 60]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Power performance and aerodynamics are affected by pitch angle misalignment.Please check the pitch angle controller for anomaly.Fine tuning and repair of pitch controller is recommended.
111,"[919, 6, 4, 2, 7, 3, 83, 0, 50, 8, 1]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismPlease check the pitch angle controller for anomaly.Fine tuning and repair of pitch controller is recommended.
112,"[919, 4, 2, 40, 41, 39, 3, 83, 84, 50, 45]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismGearbox bearing temperature is not in ambient range.High wind gusts are affecting the gearbox operation.Please check the pitch angle controller for anomaly.Checking and maintenance of gearbox bearings is recommended.
113,"[919, 2, 3, 4, 7, 6, 8, 83, 10, 84, 93]",There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismPlease check the pitch angle controller for anomaly.Please check the hydraulic pitch system fluids for oil cleanliness.
114,"[919, 0, 17, 34, 2, 93, 4, 74, 66, 92, 3]","There is a fatal anomaly in the pitch angle controlling system.There is misaligment in pitch angle.Fluctuations in reactive power demand is affecting the pitch control mechanism.The reactive power control mechanism is disfunctional.Checking the reactive power control system for fault is recommended.Generator bearing temperature is not in ambient range.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability."
115,"[920, 84, 83, 85, 0, 3, 2, 79, 76, 74, 81]",The Energy Storage Power Conversion System (PCS) has tripped.Excess heat has caused the circuit breaker to trip.The outside temperature is not in ambient range.Forced shutdown is recommended until temperature returns to normal.Forced shutdown is recommended until weather conditions become normal.
116,"[920, 78, 85, 84, 83, 77, 76, 53, 54, 69, 71]",The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
117,"[920, 78, 83, 76, 85, 84, 75, 79, 82, 35, 80]",The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
118,"[920, 78, 85, 84, 83, 76, 77, 53, 69, 54, 71]",The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
119,"[920, 78, 85, 80, 83, 84, 77, 76, 79, 69, 75]",The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
120,"[920, 78, 85, 84, 83, 77, 76, 69, 53, 54, 71]",The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
121,"[920, 85, 84, 83, 78, 79, 76, 35, 80, 37, 36]",The Energy Storage Power Conversion System (PCS) has tripped.Excess heat has caused the circuit breaker to trip.The outside temperature is not in ambient range.The wind vane measurements signal a high deviation in absolute wind direction.Forced shutdown is recommended until weather conditions become normal.
122,"[920, 0, 2, 3, 84, 83, 85, 79, 74, 76, 78]",The Energy Storage Power Conversion System (PCS) has tripped.There is misaligment in pitch angle.There is a critical anomaly in the electronic pitch controller.Please check the blade pitch controller within the nacelle for adjusting the lidar.Power performance and aerodynamics are affected by pitch angle misalignment.Fine tuning and repair of pitch controller is recommended.
123,"[920, 93, 83, 85, 84, 100, 99, 98, 94, 82, 97]",The Energy Storage Power Conversion System (PCS) has tripped.The control system for grid integration and frequency stability is disfunctional.The grid voltage fluctaction is causing load changes.The outside temperature is not in ambient range.Excess heat has caused the circuit breaker to trip.Forced shutdown is recommended until weather conditions become normal.
124,"[920, 78, 89, 100, 69, 77, 101, 70, 88, 33, 32]","The Energy Storage Power Conversion System (PCS) has tripped.The wind vane measurements signal a high deviation in absolute wind direction.Lack of grid power is preventing the yaw brake to stabilise the alignment of blades towards wind direction.The control system for grid integration and frequency stability is disfunctional.The unstable grid frequency is affecting frequency response of power delivered at the PCS.Please check the frequency converter between turbine and electricity grid for failure to provide kinetic energy,of the turbine during frequency change situation."
125,"[921, 52, 51, 100, 53, 66, 54, 99, 85, 70, 84]",There is an objectionable and repetitive audible sound from the blade passing behind the tower.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.Synchronous generator speed control is essential to prevent decrease in blade effeciency.Rotor bearing temperature is not in ambient range.There is Increased Phase Resistance (IPR) in the generator stator and rotor windings.Inspection of end windings and partial or complete rewinds is recommended. Curtailment of operation is recommended until conditions become normal to prevent noise interference to nearby households.
126,"[921, 51, 52, 100, 66, 101, 53, 54, 85, 99, 70]",There is an objectionable and repetitive audible sound from the blade passing behind the tower.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.Synchronous generator speed control is essential to prevent decrease in blade effeciency.Rotor bearing temperature is not in ambient range.There is Increased Phase Resistance (IPR) in the generator stator and rotor windings.Inspection of end windings and partial or complete rewinds is recommended. Curtailment of operation is recommended until conditions become normal to prevent noise interference to nearby households.
127,"[921, 51, 52, 100, 66, 53, 85, 99, 54, 84, 70]",There is an objectionable and repetitive audible sound from the blade passing behind the tower.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.Synchronous generator speed control is essential to prevent decrease in blade effeciency.Rotor bearing temperature is not in ambient range.There is Increased Phase Resistance (IPR) in the generator stator and rotor windings.Inspection of end windings and partial or complete rewinds is recommended. Curtailment of operation is recommended until conditions become normal to prevent noise interference to nearby households.
128,"[921, 52, 51, 66, 54, 100, 70, 85, 53, 99, 84]",There is an objectionable and repetitive audible sound from the blade passing behind the tower.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.Synchronous generator speed control is essential to prevent decrease in blade effeciency.The wind speed is very high and not in normal range.High and variable wind speed is affecting the pitch system statibility.Curtailment of operation is recommended until conditions become normal to prevent noise interference to nearby households.
129,"[922, 68, 67, 69, 78, 79, 70, 66, 51, 71, 94]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
130,"[922, 68, 69, 67, 70, 78, 101, 66, 79, 77, 71]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
131,"[922, 68, 69, 67, 70, 78, 77, 74, 66, 75, 79]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
132,"[922, 68, 67, 69, 78, 79, 70, 66, 71, 73, 77]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
133,"[922, 68, 69, 67, 78, 70, 77, 66, 74, 79, 75]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
134,"[922, 68, 69, 67, 70, 78, 101, 77, 66, 79, 74]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
135,"[922, 0, 51, 4, 6, 52, 83, 84, 3, 5, 2]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.There is misaligment in pitch angle.Power performance and aerodynamics are affected by pitch angle misalignment.Coordinated frequency control is recommended to achieve optimal pitch angle.Please check the pitch angle controller for anomaly.The generator oil sump temperature is not in ambient range.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismFaulty generator stator is affecting operation of the exhaust system.Checks and Maintenance of turbine exhaust valves is recommended."
136,"[922, 4, 0, 83, 84, 85, 6, 27, 3, 2, 5]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismThere is misaligment in pitch angle.Coordinated frequency control is recommended to achieve optimal pitch angle.Please check the pitch angle controller for anomaly.The outside temperature is not in ambient range.Forced shutdown is recommended until weather conditions become normal."
137,"[922, 68, 67, 69, 78, 79, 70, 66, 81, 71, 94]","The Moisture Vapour Transmission Rate (MVTR) is not in ambient range.Due to humidity, condensed moisture is accumulating, affecting operation efficiency.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal."
138,"[923, 36, 78, 35, 37, 76, 85, 77, 86, 68, 69]","The Energy Storage Power Conversion System (PCS) has been switched off.Generator stator temperature is not in ambient range.Faulty generator stator is affecting operation of the exhaust system.Checking the ambient temperature of generator stator is recommended.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.There is anomaly in the turbine exhaust pressure.Checks and Maintenance of turbine exhaust valves is recommended.A forced shutdown is recommended until the absolute wind direction returns to normal."
139,"[923, 78, 77, 36, 53, 79, 76, 37, 35, 80, 68]","The Energy Storage Power Conversion System (PCS) has been switched off.Generator stator temperature is not in ambient range.Faulty generator stator is affecting operation of the exhaust system.Checking the ambient temperature of generator stator is recommended.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.There is anomaly in the turbine exhaust pressure.Checks and Maintenance of turbine exhaust valves is recommended.A forced shutdown is recommended until the absolute wind direction returns to normal."
140,"[923, 78, 80, 68, 76, 75, 36, 77, 79, 73, 69]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
141,"[923, 78, 79, 36, 77, 80, 76, 68, 35, 89, 82]","The Energy Storage Power Conversion System (PCS) has been switched off.Generator stator temperature is not in ambient range.Faulty generator stator is affecting operation of the exhaust system.Checking the ambient temperature of generator stator is recommended.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.There is anomaly in the turbine exhaust pressure.Checks and Maintenance of turbine exhaust valves is recommended.A forced shutdown is recommended until the absolute wind direction returns to normal."
142,"[923, 78, 79, 77, 80, 69, 36, 35, 76, 88, 87]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
143,"[923, 78, 80, 76, 85, 79, 77, 84, 71, 75, 86]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
144,"[923, 78, 79, 80, 77, 76, 37, 35, 36, 69, 87]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
145,"[923, 78, 36, 77, 35, 79, 76, 80, 37, 87, 88]","Lubricants/coolants should be used to bring the generator bearings to normal temperature.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.Generator stator temperature is not in ambient range.Checking the ambient temperature of generator stator is recommended.Faulty generator stator is affecting operation of the exhaust system.Forced shutdown is recommended until weather conditions become normal."
146,"[923, 78, 79, 80, 77, 76, 37, 35, 36, 69, 68]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
147,"[923, 78, 70, 80, 71, 74, 79, 77, 69, 76, 87]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
148,"[923, 78, 79, 80, 76, 77, 54, 89, 85, 71, 68]","The Energy Storage Power Conversion System (PCS) has been switched off.The wind vane measurements signal a high deviation in absolute wind direction.Due to extreme variations in wind direction, the charging and discharging of PCS have been affected.A forced shutdown is recommended until the absolute wind direction returns to normal."
149,"[924, 85, 28, 29, 84, 37, 83, 30, 36, 31, 32]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Generator bearing temperature is not in ambient range.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.To prevent backlash and avoid wear, repair/maintenance of they yaw control mechanism is recommended."
150,"[924, 85, 29, 28, 30, 37, 84, 36, 74, 83, 31]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Generator bearing temperature is not in ambient range.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.To prevent backlash and avoid wear, repair/maintenance of they yaw control mechanism is recommended."
151,"[924, 85, 29, 28, 30, 37, 84, 74, 83, 31, 36]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Generator bearing temperature is not in ambient range.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.To prevent backlash and avoid wear, repair/maintenance of they yaw control mechanism is recommended."
152,"[924, 85, 28, 29, 84, 83, 30, 37, 36, 31, 74]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Generator bearing temperature is not in ambient range.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.To prevent backlash and avoid wear, repair/maintenance of they yaw control mechanism is recommended."
153,"[924, 85, 29, 28, 30, 37, 36, 31, 74, 84, 83]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Generator bearing temperature is not in ambient range.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.To prevent backlash and avoid wear, repair/maintenance of they yaw control mechanism is recommended."
154,"[924, 85, 101, 29, 28, 30, 74, 37, 84, 31, 83]","Due to hydraulic pressure difference beyond tolerance, the yaw braking mechanism is causing high fatigue loads on turbine components.The outside temperature is not in ambient range.Rotor bearing temperature is not in ambient range.Generator bearing temperature is not in ambient range.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.The generator bearing anomaly is affecting the power system dynamics.Lubricants/coolants should be used to bring the generator bearings to normal temperature."
155,"[925, 8, 6, 10, 9, 7, 3, 96, 86, 87, 95]","There is a fatal anomaly in the electronic pitch controller.The generator converter speed is too high, affecting kinetic load.Synchronous generator speed control is essential to prevent decrease in blade effeciency.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismFine tuning and repair of pitch controller is recommended."
156,"[925, 73, 65, 71, 66, 83, 63, 67, 70, 84, 90]",There is a fatal anomaly in the electronic pitch controller.The wind speed is very high and not in normal range.High and variable wind speed is affecting the pitch system statibility.Forced shutdown is recommended until wind speed returns to normal range.
157,"[925, 82, 73, 72, 71, 69, 67, 54, 50, 78, 83]",There is a fatal anomaly in the electronic pitch controller.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.High and variable wind speed is affecting the pitch system statibility.There is a fatal anomaly in the pitch angle controlling system.Please check the pitch angle controller for anomaly.
158,"[925, 6, 8, 3, 94, 96, 95, 7, 2, 10, 86]","There is a fatal anomaly in the electronic pitch controller.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismThe generator converter speed is too high, affecting kinetic load.Synchronous generator speed control is essential to prevent decrease in blade effeciency.There is misaligment in pitch angle.Please check the pitch angle controller for anomaly."
159,"[925, 83, 101, 81, 84, 76, 77, 75, 85, 0, 80]",There is a fatal anomaly in the electronic pitch controller.The outside temperature is not in ambient range.Rotor bearing temperature is not in ambient range.Please check the upper shaft of the rotor sweep disk for high temperature.The wind vane measurements signal a high deviation in absolute wind direction.A forced shutdown is recommended until the absolute wind direction returns to normal.Forced shutdown is recommended until weather conditions become normal.
160,"[925, 6, 95, 94, 96, 8, 7, 86, 10, 3, 2]",There is a fatal anomaly in the electronic pitch controller.Hub temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismHigh rotational speed of the rotor is affecting spinning tension.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.Please check the hydraulic pitch system fluids for oil cleanliness.
161,"[925, 73, 71, 83, 66, 65, 63, 35, 84, 36, 67]",High and variable wind speed is affecting the stabilisation properties of the yaw brake.The wind speed is very high and not in normal range.High and variable wind speed is affecting the pitch system statibility.The outside temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.Forced shutdown is recommended until weather conditions become normal.
162,"[926, 68, 78, 51, 52, 74, 53, 64, 95, 94, 66]",The wind speed exceeds cut-out speed and there is danger of damage to turbine.The wind speed is very high and not in normal range.Forced shutdown is recommended until wind speed returns to normal range.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.
163,"[926, 68, 78, 51, 52, 74, 66, 97, 53, 95, 67]",The wind speed exceeds cut-out speed and there is danger of damage to turbine.The wind speed is very high and not in normal range.Forced shutdown is recommended until wind speed returns to normal range.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.
164,"[926, 50, 49, 48, 28, 42, 37, 47, 54, 70, 29]","The wind speed exceeds cut-out speed and there is danger of damage to turbine.The generator inlet temperature is not in ambient range.Repair and maintenance of nozzles in the generator inlet is recommended.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability."
165,"[926, 50, 49, 48, 42, 28, 47, 74, 62, 66, 54]","The wind speed exceeds cut-out speed and there is danger of damage to turbine.The generator inlet temperature is not in ambient range.Repair and maintenance of nozzles in the generator inlet is recommended.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability."
166,"[926, 49, 48, 63, 42, 62, 74, 66, 70, 28, 37]","The wind speed exceeds cut-out speed and there is danger of damage to turbine.The generator inlet temperature is not in ambient range.Repair and maintenance of nozzles in the generator inlet is recommended.Fixing the generator bearing systems and power production mechanism will help resolve the aerodynamic ,thrust on pitch controller ,stability.The wind speed is very high and not in normal range.Forced shutdown is recommended until wind speed returns to normal range."
